address,zip,price,beds,baths,sqft,year_built,property_type,latitude,longitude
"500 Brickell Ave, Apt 3803, Miami, FL 33131",33131,3850,1,1.0,754.0,2008.0,Condo,25.768325,-80.190792
"901 Brickell Key Blvd, Apt 1001, Miami, FL 33131",33131,4100,1,1.5,1031.0,2005.0,Condo,25.769057,-80.186713
"1430 Brickell Bay Dr, Apt 707, Miami, FL 33131",33131,2500,1,1.0,750.0,1961.0,Condo,25.758017,-80.189824
"31 Se 5th St, Apt 2206, Miami, FL 33131",33131,3200,1,1.5,902.0,2006.0,Apartment,25.769585,-80.191981
"325 S Biscayne Blvd, Apt 4324, Miami, FL 33131",33131,3200,1,1.0,846.0,2006.0,Condo,25.771437,-80.186275
"151 Se 1st St, Apt 2409, Miami, FL 33131",33131,3000,1,1.0,533.0,2016.0,Condo,25.773628,-80.19066
"68 Se 6th St, Apt 2708, Miami, FL 33131",33131,6000,1,2.0,976.0,,Condo,25.768081,-80.192681
"495 Brickell Ave, Apt 4306, Miami, FL 33131",33131,2950,1,1.0,732.0,2009.0,Condo,25.768309,-80.188531
"1300 Brickell Bay Dr, Apt 2702, Miami, FL 33131",33131,7000,2,2.0,1116.0,2014.0,Condo,25.760391,-80.190347
"185 Se 14th Ter, Apt 812, Miami, FL 33131",33131,2300,1,1.0,640.0,1998.0,Condo,25.759514,-80.190954
"151 Se 1st St, Apt 1410, Miami, FL 33131",33131,2500,1,1.0,607.0,2016.0,Condo,25.773628,-80.19066
"495 Brickell Ave, Apt 2804, Miami, FL 33131",33131,5700,2,2.0,1500.0,2009.0,Condo,25.768309,-80.188531
"335 S Biscayne Blvd, Apt 1712, Miami, FL 33131",33131,6500,3,2.0,1416.0,2005.0,Condo,25.771612,-80.185408
"325 S Biscayne Blvd, Apt 2415, Miami, FL 33131",33131,3850,2,2.0,1145.0,2005.0,Condo,25.771437,-80.186275
